name,party,state,email,code,index,
"Chakraborty, Shri Subhasish",AITC,WB,subhasish.mp@sansad.nic.in,RS-29,29,
"Chandrasekhar, Shri Rajeev",BJP,KA,rajeev.c@sansad.nic.in,RS-30,30,
"Chandrashekhar, Shri G.C.",INC,KA,gcchandru.mp@sansad.nic.in,RS-31,31,
"Chavan, Smt. Vandana",NCP,MH,vandana.chavan@sansad.nic.in,RS-32,32,
"Chhatrapati, Shri Sambhaji",BJP,NOM,sambhaji.chhatrapati@sansad.nic.in,RS-33,33,
"Chhetri, Smt. Shanta",AITC,WB,mp.shantachhetri@sansad.nic.in,RS-34,34,
"Chidambaram, Shri P.",INC,MH,chidambaram@sansad.nic.in,RS-35,35,
"Chowdary, Shri Y. S.",TDP,AP,ys.chowdary@sansad.nic.in,RS-36,36,
"Chowdhury, Prof. Jogen",AITC,WB,,RS-37,37,
"Daimary, Shri Biswajit",BPF,AS,bj.daimary@sansad.nic.in,RS-38,38,
"Dalwai, Shri Husain",INC,MH,husain.dalwai@sansad.nic.in,RS-39,39,
"Dasgupta, Shri Swapan",,NOM,dasgupta.swapan@sansad.nic.in,RS-40,40,
"Deb, Shri Pratap Keshari",BJD,OR,pratapkeshari.deb@sansad.nic.in,RS-41,41,
"Desai, Shri Anil",SS,MH,anil.desai@sansad.nic.in,RS-42,42,
"Dhindsa, Sardar Sukhdev Singh",SAD,PB,sukhdevd@sansad.nic.in,RS-43,43,
"Dhoot, Shri Rajkumar",SS,MH,rndhoot@sansad.nic.in,RS-44,44,
"Dudi, Shri Ram Narain",BJP,RJ,dudi.ramnarayan@sansad.nic.in,RS-45,45,
"Dullo, Shri Shamsher Singh",INC,PB,ssdullo@sansad.nic.in,RS-46,46,
"Dungarpur, Shri Harshvardhan Singh",BJP,RJ,harshvardhan.sd@sansad.nic.in,RS-47,47,
"Elangovan, Shri T.K.S.",DMK,TN,tks.elangovan@sansad.nic.in,RS-48,48,
"Fayaz, Mir Mohammad",J&K PDP,JK,mir.fayaz@sansad.nic.in,RS-49,49,
"Fernandes, Shri Oscar",INC,KA,oscar@sansad.nic.in,RS-50,50,
"Ganguly, Smt. Roopa",BJP,NOM,roopa.ganguly@sansad.nic.in,RS-51,51,
"Gehlot, Shri Thaawarchand",BJP,MP,tc.gehlot@sansad.nic.in,RS-52,52,
"Goel, Shri Vijay",BJP,RJ,,RS-53,53,
"Gohel, Shri Chunibhai Kanjibhai",BJP,GJ,chuni.gohel@sansad.nic.in,RS-54,54,
"Gokulakrishnan, Shri N.",AIADMK,PO,ngk.pdy@sansad.nic.in,RS-55,55,
"Gowda, Prof. M.V. Rajeev",INC,KA,rajeev.gowda@sansad.nic.in,RS-56,56,
"Goyal, Shri Piyush",BJP,MH,,RS-57,57,
"Gujral, Shri Naresh",SAD,PB,nareshgujral@sansad.nic.in,RS-58,58,
"Gupta, Shri Manish",AITC,WB,manish.gupta11@sansad.nic.in,RS-59,59,
"Gupta, Shri Narain Dass",AAP,DL,ndgupta.1945@sansad.nic.in,RS-60,60,
"Gupta, Shri Prem Chand",RJD,JH,pgupta@sansad.nic.in,RS-61,61,
"Gupta, Shri Sushil Kumar",AAP,DL,mp.sushilgupta@sansad.nic.in,RS-62,62,
"Hanumanthaiah, Dr. L.",INC,KA,l.hanumanthaiah@sansad.nic.in,RS-63,63,
"Haque, Shri Md. Nadimul",AITC,WB,nadimul.haque@sansad.nic.in,RS-64,64,
"Hariprasad, Shri B.K.",INC,KA,hariprasad@sansad.nic.in,RS-65,65,
"Harivansh, Shri",JD(U),BI,hari.vansh@sansad.nic.in,RS-66,66,
"Hassan, Shri Ahamed",AITC,WB,ahmed.hassan@sansad.nic.in,RS-67,67,
"Hembram, Smt. Sarojini",BJD,OR,sarojini.hembram@sansad.nic.in,RS-68,68,
"Hussain, Shri Syed Nasir",INC,KA,dr.snhussain@sansad.nic.in,RS-69,69,
"Irani, Smt. Smriti Zubin",BJP,GJ,smritizirani@sansad.nic.in,RS-70,70,
"Jadhav, Dr. Narendra",,NOM,drnarendra.jadhav@sansad.nic.in,RS-71,71,
"Jain, Dr. Anil",BJP,UP,dr.aniljain@sansad.nic.in,RS-72,72,
"Jaitley, Shri Arun",BJP,UP,ajaitley@sansad.nic.in,RS-73,73,
"Jatiya, Dr. Satyanarayan",BJP,MP,,RS-74,74,
"Javadekar, Shri Prakash",BJP,MH,prakash.j@sansad.nic.in,RS-75,75,
"Jethmalani, Shri Ram",RJD,BI,jetmlni@sansad.nic.in,RS-76,76,
"Jha, Prof. Manoj Kumar",RJD,BI,jha.manojk@sansad.nic.in,RS-77,77,
"Jha, Shri Prabhat",BJP,MP,prabhat.jha@sansad.nic.in,RS-78,78,
"Joginipally Santosh Kumar, Shri",TRS,TG,santoshkumar.mp@sansad.nic.in,RS-79,79,
"Judev, Shri Ranvijay Singh",BJP,CT,rs.judev@sansad.nic.in,RS-80,80,
"Kakade, Shri Sanjay Dattatraya",IND.,MH,sanjay.kakade@sansad.nic.in,RS-81,81,
"Kalita, Shri Bhubaneswar",INC,AS,b.kalita@sansad.nic.in,RS-82,82,
"Kanakamedala Ravindra Kumar, Shri",TDP,AP,kanakamedala.rk@sansad.nic.in,RS-83,83,
"Kanimozhi, Smt.",DMK,TN,kanimozhi@sansad.nic.in,RS-84,84,
"Kardam, Smt. Kanta",BJP,UP,,RS-85,85,
"Kareem, Shri Elamaram",CPI(M),KE,elamaram.kareem@sansad.nic.in,RS-86,86,
"Karim, Shri Ahmad Ashfaque",RJD,BI,aashfaque.karim@sansad.nic.in,RS-87,87,
"Kashyap, Shri Ram Kumar",INLD,HA,rk.kashyap@sansad.nic.in,RS-88,88,
"Kenye, Shri K.G.",NPF,NA,kg.kenye@sansad.nic.in,RS-89,89,
"Ketkar, Shri Kumar",INC,MH,keshav.ketkar@sansad.nic.in,RS-90,90,
"Khan, Shri Javed Ali",SP,UP,javedali.khan@sansad.nic.in,RS-91,91,
"Khan, Shri Mohd. Ali",INC,AP,alikhan@sansad.nic.in,RS-92,92,
"Kom, Smt. M.C. Mary",,NOM,mary.kom@sansad.nic.in,RS-93,93,
"Kore, Dr. Prabhakar",BJP,KA,p.kore@sansad.nic.in,RS-94,94,
"Kujur, Shri Santiuse",INC,AS,santiuse.kujur@sansad.nic.in,RS-95,95,
"Lachungpa, Shri Hishey",SDF,SK,h.lachungpa@sansad.nic.in,RS-96,96,
"Lakshmanan, Dr. R.",AIADMK,TN,r.luxman@sansad.nic.in,RS-97,97,
"Laway, Shri Nazir Ahmed",J&K PDP,JK,nazir.laway786@sansad.nic.in,RS-98,98,
"Mahatme, Dr. Vikas",BJP,MH,mp.mahatme@sansad.nic.in,RS-99,99,
"Mahendra Prasad, Dr.",JD(U),BI,prasadm@sansad.nic.in,RS-100,100,
"Maitreyan, Dr. V.",AIADMK,TN,maitreyan@sansad.nic.in,RS-101,101,
"Malik, Shri Shwait",BJP,PB,shwait.malik@sansad.nic.in,RS-102,102,
"Mandaviya, Shri Mansukh",BJP,GJ,mansukh.mandaviya@sansad.nic.in,RS-103,103,
"Manhas, Shri Shamsher Singh",BJP,JK,shamsher.mp@sansad.nic.in,RS-104,104,
"Mani, Shri Jose K.",KC(M),KE,josekmanimp@gmail.com,RS-105,105,
"Mansingh, Dr. Sonal",BJP,NOM,sonal.mansingh@sansad.nic.in,RS-106,106,
"Mathur, Shri Om Prakash",BJP,RJ,om.mathur@sansad.nic.in,RS-107,107,
"Meena, Dr. Kirodi Lal",BJP,RJ,drkirodi.meena51@sansad.nic.in,RS-108,108,
"Memon, Shri Majeed",NCP,MH,majeed.memon@sansad.nic.in,RS-109,109,
"Misra, Shri Satish Chandra",BSP,UP,satish.misra@sansad.nic.in,RS-110,110,
"Mistry, Shri Madhusudan",INC,GJ,madhusudan.mistry@sansad.nic.in,RS-111,111,
"Mohanty, Shri Anubhav",BJD,OR,anubhav.mohanty@sansad.nic.in,RS-112,112,
"Mohapatra, Dr. Raghunath",BJP,NOM,,RS-113,113,
"Mukut Mithi, Shri",INC,AR,mukut.mithi@sansad.nic.in,RS-114,114,
"Muraleedharan, Shri V.",BJP,MH,v.muraleedharan@sansad.nic.in,RS-115,115,
"Muthukaruppan, Shri S.",AIADMK,TN,,RS-116,116,
"Nadda, Shri Jagat Prakash",BJP,HP,jp.nadda@sansad.nic.in,RS-117,117,
"Nagar, Shri Surendra Singh",SP,UP,surendranagar.mp@sansad.nic.in,RS-118,118,
"Nanda, Shri Prashanta",BJD,OR,,RS-119,119,
"Naqvi, Shri Mukhtar Abbas",BJP,JH,mnaqvi@sansad.nic.in,RS-120,120,
"Narah, Smt. Ranee",INC,AS,ranee.narah@sansad.nic.in,RS-121,121,
"Nathwani, Shri Parimal",IND.,JH,parimal.nathwani@sansad.nic.in,RS-122,122,
"Navaneethakrishnan, Shri A.",AIADMK,TN,,RS-123,123,
"Nekkanti, Shri Bhaskar Rao",BJD,OR,br.nekkanti@sansad.nic.in,RS-124,124,
"Netam, Shri Ram Vichar",BJP,CT,ramvichar.netam@sansad.nic.in,RS-125,125,
"Nirmala Sitharaman, Smt.",BJP,KA,,RS-126,126,
"Nishad, Shri Vishambhar Prasad",SP,UP,vp.nishadmp@sansad.nic.in,RS-127,127,
"O Brien, Shri Derek",AITC,WB,derek.ob@sansad.nic.in,RS-128,128,
"Oraon, Shri Samir",BJP,JH,samir.oraon@sansad.nic.in,RS-129,129,
"Panchariya, Shri Narayan Lal",BJP,RJ,narayan.panchariya@sansad.nic.in,RS-130,130,
"Pandey, Ms. Saroj",BJP,CT,,RS-131,131,
"Patel, Shri Ahmed",INC,GJ,patelm@sansad.nic.in,RS-132,132,
"Patel, Shri Praful",NCP,MH,praful@sansad.nic.in,RS-133,133,
"Patel, Shri Rajmani",INC,MP,rajmanipatel.mp@sansad.nic.in,RS-134,134,
"Patnaik, Shri Soumya R.",BJD,OR,,RS-135,135,
"Pawar, Shri Sharad",NCP,MH,,RS-136,136,
"Perween, Smt. Kahkashan",JD(U),BI,kahkashan.perween@sansad.nic.in,RS-137,137,
"Poddar, Shri Mahesh",BJP,JH,mahesh.poddar@sansad.nic.in,RS-138,138,
"Prabhu, Shri Suresh",BJP,AP,,RS-139,139,
"Pradhan, Shri Dharmendra",BJP,MP,d.pradhan@sansad.nic.in,RS-140,140,
"Prasad, Shri Ravi Shankar",BJP,BI,ravis@sansad.nic.in,RS-141,141,
"Punia, Shri P.L.",INC,UP,pl.punia@sansad.nic.in,RS-142,142,
"Puri, Shri Hardeep Singh",BJP,UP,,RS-143,143,
"Ragesh, Shri K.K.",CPI(M),KE,kk.ragesh@sansad.nic.in,RS-144,144,
"Raja, Shri D.",CPI,TN,,RS-145,145,
"Rajaram, Shri",BSP,UP,rajaram.mp@sansad.nic.in,RS-146,146,
"Rajbhar, Shri Sakaldeep",BJP,UP,,RS-147,147,
"Ram Shakal, Shri",BJP,NOM,,RS-148,148,
"Ramamurthy, Shri K.C.",INC,KA,kc.ramamurthy@sansad.nic.in,RS-149,149,
"Ramaswamy, Dr. Sasikala Pushpa",AIADMK,TN,sasikala.pushpa@sansad.nic.in,RS-150,150,
"Ramesh, Shri C.M.",TDP,AP,cm.ramesh@sansad.nic.in,RS-151,151,
"Ramesh, Shri Jairam",INC,KA,jairam@sansad.nic.in,RS-152,152,
"Rane, Shri Narayan",BJP,MH,narayan.rane@sansad.nic.in,RS-153,153,
"Rangarajan, Shri T.K.",CPI(M),TN,tk.ranga@sansad.nic.in,RS-154,154,
"Rao, Shri G.V.L. Narasimha",BJP,UP,gvlnrao.mp@sansad.nic.in,RS-155,155,
"Rao, Shri Garikapati Mohan",TDP,TG,mohan.rao@sansad.nic.in,RS-156,156,
"Rao, Dr. K. Keshava",TRS,AP,keshava.rao@sansad.nic.in,RS-157,157,
"Rao, Dr. K.V.P. Ramachandra",INC,TG,ramachandra.rao@sansad.nic.in,RS-158,158,
"Rao, Shri V. Lakshmikantha",TRS,TG,vlkrao.mp@sansad.nic.in,RS-159,159,
"Rathinavel, Shri T.",AIADMK,TN,t.rathinavel@sansad.nic.in,RS-160,160,
"Rathwa, Shri Naranbhai J.",INC,GJ,nj.rathwa@sansad.nic.in,RS-161,161,
"Raut, Shri Sanjay",SS,MH,s.raut@sansad.nic.in,RS-162,162,
"Ravi, Shri Vayalar",INC,KE,vayalarravimp@sansad.nic.in,RS-163,163,
"Ray, Shri Sukhendu Sekhar",AITC,WB,sukhendu.sekhar@sansad.nic.in,RS-164,164,
"Reddy, Shri D. Kupendra",JD(S),KA,kupendra.reddy@sansad.nic.in,RS-165,165,
"Reddy, Dr. T. Subbarami",INC,AP,reddy.ts@sansad.nic.in,RS-166,166,
"Reddy, Shri V. Vijayasai",YSRCP,AP,venumbaka.vr@sansad.nic.in,RS-167,167,
"Rupala, Shri Parshottam",BJP,GJ,,RS-168,168,
"Sable, Shri Amar Shankar",BJP,MH,amar.sable@sansad.nic.in,RS-169,169,
"Sahasrabuddhe, Dr. Vinay P.",BJP,MH,vinay.prabhakar@sansad.nic.in,RS-170,170,
"Sahu, Shri Dhiraj Prasad",INC,JH,dp.sahu@sansad.nic.in,RS-171,171,
"Saini, Shri Madanlal",BJP,RJ,madanlal.saini@sansad.nic.in,RS-172,172,
"Samanta, Shri Achyutananda",BJD,OR,achyuta.samanta@sansad.nic.in,RS-173,173,
"Seetharama Lakshmi, Smt. Thota",TDP,AP,seetha.ramalakshmi@sansad.nic.in,RS-174,174,
"Selja, Kumari",INC,HA,kumari.selja@sansad.nic.in,RS-175,175,
"Selvaraj, Shri A. K.",AIADMK,TN,selaraj@sansad.nic.in,RS-176,176,
"Sen, Ms. Dola",AITC,WB,dola.sen@sansad.nic.in,RS-177,177,
"Sen, Dr. Santanu",AITC,WB,santanusen.mp@sansad.nic.in,RS-178,178,
"Seth, Shri Sanjay",SP,UP,sanjay.seth@sansad.nic.in,RS-179,179,
"Shah, Shri Amit Anil Chandra",BJP,GJ,amitshah.mp@sansad.nic.in,RS-180,180,amitshah.bjp@gmail.com
"Shekhar, Shri Neeraj",SP,UP,,RS-181,181,
"Shukla, Shri Shiv Pratap",BJP,UP,spshukla.mp@sansad.nic.in,RS-182,182,
"Sibal, Shri Kapil",INC,UP,ksibal@sansad.nic.in,RS-183,183,
"Singh, Shri Ajay Pratap",BJP,MP,apsingh.mp@sansad.nic.in,RS-184,184,
"Singh, Shri Akhilesh Prasad",INC,BI,,RS-185,185,
"Singh, Shri Amar",IND.,UP,amarsingh.rs@sansad.nic.in,RS-186,186,
"Singh, Shri Bashistha Narain",JD(U),BI,bnsingh@sansad.nic.in,RS-187,187,
"Singh, Chaudhary Birender",BJP,HA,,RS-188,188,
"Singh, Shri Digvijaya",INC,MP,,RS-189,189,
"Singh, Shri Gopal Narayan",BJP,BI,gopalnarayan.singh@sansad.nic.in,RS-190,190,
"Singh, Shri K. Bhabananda",BJP,MA,k.bhabananda@sansad.nic.in,RS-191,191,
"Singh, Dr. Kanwar Deep",AITC,WB,kanwar.deep@sansad.nic.in,RS-192,192,
"Singh, Dr. Manmohan",INC,AS,manmohan@sansad.nic.in,RS-193,193,
"Singh, Shri Ram Chandra Prasad",JD(U),BI,ram.chandra@sansad.nic.in,RS-194,194,
"Singh, Shri Rewati Raman",SP,UP,,RS-195,195,
"Singh, Shri Sanjay",AAP,DL,mp.sanjaysingh@sansad.nic.in,RS-196,196,
"Singh, Shri Veer",BSP,UP,veersingh@sansad.nic.in,RS-197,197,
"Singhvi, Dr. Abhishek Manu",INC,WB,a.singhvi@sansad.nic.in,RS-198,198,
"Sinh, Dr. Sanjay",INC,AS,sanjay.sinh@sansad.nic.in,RS-199,199,
"Sinha, Shri R. K.",BJP,BI,rkishore.sinha@sansad.nic.in,RS-200,200,
"Sinha, Shri Rakesh",BJP,NOM,rakesh.sinha46@sansad.nic.in,RS-201,201,
"Siva, Shri Tiruchi",DMK,TN,tiruchi.siva@sansad.nic.in,RS-202,202,
"Somaprasad, Shri K.",CPI(M),KE,k.somaprasad@sansad.nic.in,RS-203,203,
"Soni, Smt. Ambika",INC,PB,ambika@sansad.nic.in,RS-204,204,
"Soni, Shri Kailash",BJP,MP,kailashsoni.mp@sansad.nic.in,RS-205,205,
"Srinivas, Shri Dharmapuri",TRS,TG,dharmapuri.srinivas@sansad.nic.in,RS-206,206,
"Subhash Chandra, Dr.",IND.,HA,drsubhash.chandra@sansad.nic.in,RS-207,207,
"Suresh Gopi, Shri",BJP,NOM,sureshgopi.mp@sansad.nic.in,RS-208,208,
"Swain, Shri Narendra Kumar",BJD,OR,narendra.swain@sansad.nic.in,RS-209,209,
"Swamy, Dr. Subramanian",BJP,NOM,,RS-210,210,
"Syiem, Smt. Wansuk",INC,ME,,RS-211,211,
"Tamta, Shri Pradeep",INC,UT,pradeep.tamta@sansad.nic.in,RS-212,212,
"Tankha, Shri Vivek K.",INC,MP,vivektankha.mp@sansad.nic.in,RS-213,213,
"Tazeen Fatma, Dr.",SP,UP,,RS-214,214,
"Tendulkar, Shri Vinay Dinu",BJP,GO,vinil.vinay@sansad.nic.in,RS-215,215,vinaytendulkar17@gmail.com
"Thakur, Dr. C.P.",BJP,BI,cp.thakur@sansad.nic.in,RS-216,216,
"Thakur, Shri Ram Nath",JD(U),BI,ramnath.thakur@sansad.nic.in,RS-217,217,
"Thakur, Smt. Viplove",INC,HP,viplove.thakur@sansad.nic.in,RS-218,218,
"Tlau, Shri Ronald Sapa",INC,MI,rs.tlau@sansad.nic.in,RS-219,219,
"Tomar, Shri Vijay Pal Singh",BJP,UP,tomar.vps@sansad.nic.in,RS-220,220,
"Tulsi, Shri K.T.S.",,NOM,kts.tulsi@sansad.nic.in,RS-221,221,
"Tundiya, Mahant Shambhuprasadji",BJP,GJ,sb.tundiya@sansad.nic.in,RS-222,222,
"Uikey, Smt. Sampatiya",BJP,MP,sampatiya.uikey@sansad.nic.in,RS-223,223,
"Vadodia, Shri Lal Sinh",BJP,GJ,vadodia.ls@sansad.nic.in,RS-224,224,
"Vaithilingam, Shri R.",AIADMK,TN,,RS-225,225,
"Vats, Dr. D. P.",BJP,HA,,RS-226,226,
"Veerendra Kumar, Shri M.P.",IND.,KE,mp.veerendra@sansad.nic.in,RS-227,227,
"Vemireddy, Shri Prabhakar Reddy",YSRCP,AP,vpr.1956@sansad.nic.in,RS-228,228,
"Venkatesh, Shri T.G.",TDP,AP,tg.venkatesh@sansad.nic.in,RS-229,229,
"Verma, Shri Beni Prasad",SP,UP,,RS-230,230,
"Verma, Smt. Chhaya",INC,CT,chhaya.verma@sansad.nic.in,RS-231,231,
"Verma, Shri Ramkumar",BJP,RJ,mp.rkverma@sansad.nic.in,RS-232,232,
"Verma, Shri Ravi Prakash",SP,UP,rpverma@sansad.nic.in,RS-233,233,
"Vijayakumar, Shri A.",AIADMK,TN,vijaya.lekshmi@sansad.nic.in,RS-234,234,
"Vijila Sathyananth, Smt.",AIADMK,TN,vijila.sathyananth@sansad.nic.in,RS-235,235,
"Viswam, Shri Binoy",CPI,KE,binoy.viswam@sansad.nic.in,RS-236,236,
"Vora, Shri Motilal",INC,CT,vora@sansad.nic.in,RS-237,237,
"Yadav, Shri B. Lingaiah",TRS,TG,bl.yadav@sansad.nic.in,RS-238,238,
"Yadav, Shri Bhupender",BJP,RJ,bhupender.yadav@sansad.nic.in,RS-239,239,
"Yadav, Dr. Chandrapal Singh",SP,UP,chandrapal.yadav@sansad.nic.in,RS-240,240,
"Yadav, Shri Harnath Singh",BJP,UP,harnath.singh@sansad.nic.in,RS-241,241,
"Yadav, Prof. Ram Gopal",SP,UP,ramgopal.yadav@sansad.nic.in,RS-242,242,
"Yadav, Ch. Sukhram Singh",SP,UP,ch.ssyadav@sansad.nic.in,RS-243,243,
"Yajnik, Dr. Amee",INC,GJ,amee.yajnik@sansad.nic.in,RS-244,244,
